location_key,block,street_name,geocode_quality,matched_address,nearest_mrt_station,nearest_mrt_distance_reference_m,mrt_distance_model_eligible,nearest_mrt_distance_m
304|BT BATOK ST 31,304,BT BATOK ST 31,exact_building,304 BUKIT BATOK STREET 31 HONG KAH GREEN SINGAPORE 650304,BUKIT GOMBAK,455.8016219817212,True,455.8016219817212
318|BT BATOK ST 32,318,BT BATOK ST 32,exact_building,318 BUKIT BATOK STREET 32 SINGAPORE 650318,BUKIT GOMBAK,536.4861081003738,True,536.4861081003738
267|BT BATOK EAST AVE 4,267,BT BATOK EAST AVE 4,exact_building,267 BUKIT BATOK EAST AVENUE 4 SINGAPORE 650267,BUKIT BATOK,1105.758339741196,True,1105.758339741196
271|BT BATOK EAST AVE 4,271,BT BATOK EAST AVE 4,exact_building,271 BUKIT BATOK EAST AVENUE 4 GOMBAK PLACE SINGAPORE 650271,BUKIT BATOK,1003.4327759089211,True,1003.4327759089211
114|BT BATOK WEST AVE 6,114,BT BATOK WEST AVE 6,exact_building,114 BUKIT BATOK WEST AVENUE 6 SINGAPORE 650114,BUKIT BATOK,347.5679920878317,True,347.5679920878317
173|BT BATOK WEST AVE 8,173,BT BATOK WEST AVE 8,exact_building,173 BUKIT BATOK WEST AVENUE 8 SINGAPORE 650173,BUKIT BATOK,956.7005714803252,True,956.7005714803252
268|BT BATOK EAST AVE 4,268,BT BATOK EAST AVE 4,exact_building,268 BUKIT BATOK EAST AVENUE 4 SINGAPORE 650268,BUKIT BATOK,1025.0371960840148,True,1025.0371960840148
323|BT BATOK ST 33,323,BT BATOK ST 33,exact_building,323 BUKIT BATOK STREET 33 SINGAPORE 650323,BUKIT GOMBAK,459.5093815779697,True,459.5093815779697
333|BT BATOK ST 32,333,BT BATOK ST 32,exact_building,333 BUKIT BATOK STREET 32 SINGAPORE 650333,BUKIT GOMBAK,712.8546501713678,True,712.8546501713678
6|REDHILL CL,6,REDHILL CL,unresolved,,,,False,
20|JLN KLINIK,20,JLN KLINIK,exact_building,20 JALAN KLINIK SINGAPORE 160020,TIONG BAHRU,259.683102854346,True,259.683102854346
37|LIM LIAK ST,37,LIM LIAK ST,exact_building,37 LIM LIAK STREET SINGAPORE 160037,TIONG BAHRU,362.2076476352843,True,362.2076476352843
149|SILAT AVE,149,SILAT AVE,exact_building,149 SILAT AVENUE SINGAPORE 160149,OUTRAM PARK,793.7537356345945,True,793.7537356345945
4|DELTA AVE,4,DELTA AVE,exact_building,4 DELTA AVENUE SINGAPORE 161004,TIONG BAHRU,616.9854707604892,True,616.9854707604892
116|BT MERAH CTRL,116,BT MERAH CTRL,exact_building,116 BUKIT MERAH CENTRAL MERAH HEIGHTS SINGAPORE 150116,REDHILL,647.0238911358615,True,647.0238911358615
37|TELOK BLANGAH RISE,37,TELOK BLANGAH RISE,exact_building,37 TELOK BLANGAH RISE SINGAPORE 090037,HARBOURFRONT,762.1550472023416,True,762.1550472023416
8|TG PAGAR PLAZA,8,TG PAGAR PLAZA,exact_building,8 TANJONG PAGAR PLAZA SINGAPORE 080008,TANJONG PAGAR,233.7496803456648,True,233.7496803456648
233|BAIN ST,233,BAIN ST,exact_building,233 BAIN STREET BRAS BASAH COMPLEX SINGAPORE 180233,BRAS BASAH,286.8907267711956,True,286.8907267711956
11|TECK WHYE LANE,11,TECK WHYE LANE,exact_building,11 TECK WHYE LANE TECK WHYE HEIGHTS II SINGAPORE 680011,BUKIT PANJANG,525.9961045226727,True,525.9961045226727
335|CLEMENTI AVE 2,335,CLEMENTI AVE 2,exact_building,335 CLEMENTI AVENUE 2 SINGAPORE 120335,CLEMENTI,406.26728376052745,True,406.26728376052745
